artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Tool,Sober,0.501,0.188,7,-17.707,0,0.0344,0.88,0.476,0.114,0.0395,135.91,audio_features,26OobDJmACfkjdVTt3L8mO,spotify:track:26OobDJmACfkjdVTt3L8mO,https://api.spotify.com/v1/tracks/26OobDJmACfkjdVTt3L8mO,https://api.spotify.com/v1/audio-analysis/26OobDJmACfkjdVTt3L8mO,322320,4,0
The Cure,Charlotte Sometimes,0.503,0.923,9,-5.526,0,0.0685,0.000471,6.21e-05,0.104,0.559,124.157,audio_features,1rs7lqaXBlcw1N9wuHiQyJ,spotify:track:1rs7lqaXBlcw1N9wuHiQyJ,https://api.spotify.com/v1/tracks/1rs7lqaXBlcw1N9wuHiQyJ,https://api.spotify.com/v1/audio-analysis/1rs7lqaXBlcw1N9wuHiQyJ,253333,4,0
Dixie Chicks,Travelin' Soldier,0.633,0.337,9,-7.845,1,0.0299,0.574,0.00489,0.127,0.285,140.994,audio_features,0bB0yknqGBZWjga5L6XjFJ,spotify:track:0bB0yknqGBZWjga5L6XjFJ,https://api.spotify.com/v1/tracks/0bB0yknqGBZWjga5L6XjFJ,https://api.spotify.com/v1/audio-analysis/0bB0yknqGBZWjga5L6XjFJ,277676,4,0
Jackson Browne,These Days,0.471,0.357,5,-11.333,1,0.0283,0.515,0.00363,0.114,0.278,138.255,audio_features,2dcoDVcOc9hGPbtZFtpcw3,spotify:track:2dcoDVcOc9hGPbtZFtpcw3,https://api.spotify.com/v1/tracks/2dcoDVcOc9hGPbtZFtpcw3,https://api.spotify.com/v1/audio-analysis/2dcoDVcOc9hGPbtZFtpcw3,284840,4,0
The Shields,You Cheated,0.396,0.28,11,-5.46,1,0.0285,0.974,0,0.0899,0.422,132.581,audio_features,0WevvWnHWwzeCDgU7GrF3e,spotify:track:0WevvWnHWwzeCDgU7GrF3e,https://api.spotify.com/v1/tracks/0WevvWnHWwzeCDgU7GrF3e,https://api.spotify.com/v1/audio-analysis/0WevvWnHWwzeCDgU7GrF3e,151484,4,0
The Young Rascals,Groovin',0.605,0.455,5,-8.903,0,0.0301,0.595,0,0.0816,0.678,106.825,audio_features,3c2kMiSB86tVq1J4oULmvL,spotify:track:3c2kMiSB86tVq1J4oULmvL,https://api.spotify.com/v1/tracks/3c2kMiSB86tVq1J4oULmvL,https://api.spotify.com/v1/audio-analysis/3c2kMiSB86tVq1J4oULmvL,151289,4,1
Queen,No-one But You (Only the Good Die Young),0.496,0.4,0,-8.272,0,0.0301,0.573,0,0.0909,0.0932,119.395,audio_features,4pRnWYreOtP4jXdvhzRvdA,spotify:track:4pRnWYreOtP4jXdvhzRvdA,https://api.spotify.com/v1/tracks/4pRnWYreOtP4jXdvhzRvdA,https://api.spotify.com/v1/audio-analysis/4pRnWYreOtP4jXdvhzRvdA,251333,3,0
Joe Nichols,I'll Wait For You,0.486,0.415,9,-8.244,1,0.0279,0.249,0,0.164,0.359,143.928,audio_features,1L6rE8LIa9G6xl03hdihVh,spotify:track:1L6rE8LIa9G6xl03hdihVh,https://api.spotify.com/v1/tracks/1L6rE8LIa9G6xl03hdihVh,https://api.spotify.com/v1/audio-analysis/1L6rE8LIa9G6xl03hdihVh,246960,4,0
Imogen Heap,Hide and Seek,0.451,0.166,9,-11.125,1,0.0696,0.909,0,0.19,0.0901,121.123,audio_features,7mMlbJlXXo2mRtQ4R9sIzD,spotify:track:7mMlbJlXXo2mRtQ4R9sIzD,https://api.spotify.com/v1/tracks/7mMlbJlXXo2mRtQ4R9sIzD,https://api.spotify.com/v1/audio-analysis/7mMlbJlXXo2mRtQ4R9sIzD,268980,4,0
Natalie Merchant,My Skin,0.548,0.176,8,-14.563,1,0.0337,0.854,0.0265,0.0657,0.21,128.947,audio_features,219KQPYoy3TDblJ3DCUFz4,spotify:track:219KQPYoy3TDblJ3DCUFz4,https://api.spotify.com/v1/tracks/219KQPYoy3TDblJ3DCUFz4,https://api.spotify.com/v1/audio-analysis/219KQPYoy3TDblJ3DCUFz4,332733,3,0
Sade,Is It a Crime,0.451,0.376,5,-10.398,0,0.0329,0.223,0.00506,0.184,0.542,122.34,audio_features,6rdsexh3eZI7NJ6Ox2DWR5,spotify:track:6rdsexh3eZI7NJ6Ox2DWR5,https://api.spotify.com/v1/tracks/6rdsexh3eZI7NJ6Ox2DWR5,https://api.spotify.com/v1/audio-analysis/6rdsexh3eZI7NJ6Ox2DWR5,381560,3,0
Judy Garland,Over The Rainbow,0.231,0.0426,8,-21.141,1,0.0426,0.901,0.000136,0.153,0.199,77.74,audio_features,2PwYIEV1H34mbQBvbnnmLx,spotify:track:2PwYIEV1H34mbQBvbnnmLx,https://api.spotify.com/v1/tracks/2PwYIEV1H34mbQBvbnnmLx,https://api.spotify.com/v1/audio-analysis/2PwYIEV1H34mbQBvbnnmLx,166467,4,1
Queen,Don't Stop Me Now,0.559,0.855,5,-5.077,1,0.186,0.0488,0.000681,0.68,0.605,156.311,audio_features,7hQJA50XrCWABAu5v6QZ4i,spotify:track:7hQJA50XrCWABAu5v6QZ4i,https://api.spotify.com/v1/tracks/7hQJA50XrCWABAu5v6QZ4i,https://api.spotify.com/v1/audio-analysis/7hQJA50XrCWABAu5v6QZ4i,209413,4,1
Guns N' Roses,Don't Cry,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,audio_features,2N2yrmodOnVF10mKvItC9P,spotify:track:2N2yrmodOnVF10mKvItC9P,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,https://api.spotify.com/v1/audio-analysis/2N2yrmodOnVF10mKvItC9P,283733,4,0
Queen,Don't Try So Hard,0.308,0.277,4,-14.694,0,0.0323,0.629,7.69e-06,0.0902,0.113,78.275,audio_features,3dQm7AqXN52Tqd1G57uFCz,spotify:track:3dQm7AqXN52Tqd1G57uFCz,https://api.spotify.com/v1/tracks/3dQm7AqXN52Tqd1G57uFCz,https://api.spotify.com/v1/audio-analysis/3dQm7AqXN52Tqd1G57uFCz,218573,4,0
Red Hot Chili Peppers,I Could Have Lied,0.56,0.209,7,-13.591,1,0.039,0.0132,0.551,0.342,0.407,140.744,audio_features,0NSbiBKXoODbsPwjSivfBr,spotify:track:0NSbiBKXoODbsPwjSivfBr,https://api.spotify.com/v1/tracks/0NSbiBKXoODbsPwjSivfBr,https://api.spotify.com/v1/audio-analysis/0NSbiBKXoODbsPwjSivfBr,244400,4,0
Tori Amos,Not The Red Baron,0.44,0.0857,0,-21.157,0,0.0277,0.951,7.55e-05,0.138,0.289,77.35,audio_features,1bW8r4tWfHahCFy9zem3rQ,spotify:track:1bW8r4tWfHahCFy9zem3rQ,https://api.spotify.com/v1/tracks/1bW8r4tWfHahCFy9zem3rQ,https://api.spotify.com/v1/audio-analysis/1bW8r4tWfHahCFy9zem3rQ,230640,4,0
5th Dimension,One Less Bell to Answer,0.247,0.31,2,-10.487,1,0.0309,0.745,1.86e-05,0.205,0.483,198.82,audio_features,5766QQQ0ssrdVAe7VGE2BM,spotify:track:5766QQQ0ssrdVAe7VGE2BM,https://api.spotify.com/v1/tracks/5766QQQ0ssrdVAe7VGE2BM,https://api.spotify.com/v1/audio-analysis/5766QQQ0ssrdVAe7VGE2BM,207907,3,0
Herb Alpert,This Guy's in Love with You,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768,audio_features,7a3g7jILDCvADVN9NQIyYj,spotify:track:7a3g7jILDCvADVN9NQIyYj,https://api.spotify.com/v1/tracks/7a3g7jILDCvADVN9NQIyYj,https://api.spotify.com/v1/audio-analysis/7a3g7jILDCvADVN9NQIyYj,239733,4,0
Willie Nelson,Poncho and Lefty,0.595,0.289,2,-14.049,1,0.0316,0.845,0,0.0809,0.446,140.14,audio_features,2a25mbEbAlEe4187UB3Xr5,spotify:track:2a25mbEbAlEe4187UB3Xr5,https://api.spotify.com/v1/tracks/2a25mbEbAlEe4187UB3Xr5,https://api.spotify.com/v1/audio-analysis/2a25mbEbAlEe4187UB3Xr5,237974,4,0
